SID,NUMBER,ISO_TIME,NATURE,LAT,LON
1860052S12105,8,1860-02-21 06:00:00,Not reported,-12,105
1860052S14057,9,1860-02-21 06:00:00,Not reported,-13.9,56.9
1860061S13085,10,1860-03-01 06:00:00,Not reported,-13.2,85.1
1860061S13445,11,1860-02-29 18:00:00,Not reported,-13.4,84.6
1860081S14069,12,1860-03-21 06:00:00,Not reported,-13.6,69
1860081S14429,13,1860-03-20 18:00:00,Not reported,-13.7,68.7
1860112S11085,14,1860-04-20 18:00:00,Not reported,-11,85.3
1860112S11086,15,1860-04-21 06:00:00,Not reported,-10.9,85.7
1860122S07087,16,1860-05-01 06:00:00,Not reported,-7.2,87.2
1860122S07447,17,1860-04-30 18:00:00,Not reported,-7.3,86.7
1860208N11301,18,1860-07-25 12:00:00,Tropical,11,-59
1860221N28276,19,1860-08-08 00:00:00,Tropical,28.1,-84.1
1860227N25311,20,1860-08-13 12:00:00,Tropical,25.1,-48.8
1860227N26291,21,1860-08-13 12:00:00,Tropical,26.4,-69.2
1860232N25291,22,1860-08-18 12:00:00,Tropical,25,-69
1860237N28283,23,1860-08-24 00:00:00,Tropical,28.2,-77.1
1860245N20333,24,1860-08-31 12:00:00,Tropical,20.5,-27.5
1860247N13298,25,1860-09-02 12:00:00,Tropical,12.5,-62.3
1860252N18284,26,1860-09-07 12:00:00,Tropical,17.5,-76.2
1860258N14336,27,1860-09-14 00:00:00,Tropical,14.4,-24
1860259N27296,28,1860-09-14 12:00:00,Tropical,26.5,-64.5
1860262N22294,29,1860-09-18 00:00:00,Tropical,22.2,-66.1
1860267N12318,30,1860-09-23 00:00:00,Tropical,12,-41.6
1860269N20266,31,1860-09-24 12:00:00,Tropical,19.5,-93.8
1860289N14290,32,1860-10-15 06:00:00,Tropical,13.8,-69.6
1860336S08087,33,1860-12-01 06:00:00,Not reported,-8.3,86.8
1860336S09086,34,1860-12-01 06:00:00,Not reported,-8.8,85.6
1861011S17051,1,1861-01-11 06:00:00,Not reported,-17,50.6
